mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
88,13565039,13569554,Flange-0703,Geometry Group,,0446270e-8ec8-5eb5-87ae-4b072a219f93,,,,,,,,,
89,13597062,13600761,Aspects,Geometry Group,,b8df4d73-d851-5482-ab60-9312b814e068,,,,,,,,,
90,13603506,13607222,Aspects,Geometry Group,,35df0d72-f0b5-5f76-8883-6f237c045348,,,,,,,,,
91,13609510,13613226,Aspects,Geometry Group,,07e3fa21-3a2c-571f-b248-fa99b6fa4fe3,,,,,,,,,
92,13621048,13625547,Cap-0102,Geometry Group,,75fa2272-749f-5e3d-81b3-3eacf0011ef2,,,,,,,,,
93,13631137,13635679,Flange-2401,Geometry Group,,9e630e49-7433-5761-9230-fc67855e07ff,,,,,,,,,
94,13636136,13640674,Flange-2402,Geometry Group,,351b0849-41c4-5ca9-9930-a2995d3e0b15,,,,,,,,,
95,13646264,13650815,Flange-0012,Geometry Group,,4cc9efc3-d975-5814-a34b-d3ceeaf6674c,,,,,,,,,
96,13653147,13657701,Flange-0018,Geometry Group,,9d0ec9ea-7c2a-5051-8f01-801f7bee0715,,,,,,,,,
97,13658158,13662712,Flange-0019,Geometry Group,,b7d10794-4fa3-522f-9f67-fd4f061645cf,,,,,,,,,
98,13664617,13669148,Weldolet-0003,Geometry Group,,f554ae99-2130-5e91-8803-7820c3b39201,,,,,,,,,
99,13673652,13678213,Flange-0002,Geometry Group,,5aa8e65c-ae37-59bb-b119-df1c7724b444,,,,,,,,,
100,13678670,13683215,Flange-0010,Geometry Group,,efb3f727-91a8-5697-acd5-40b48a732dd0,,,,,,,,,
101,13683672,13688221,Flange-0011,Geometry Group,,f1ca207d-f974-54d2-83bf-2183ea1b0195,,,,,,,,,
102,13692725,13697276,Flange-0013,Geometry Group,,d90bbb7c-fe74-5eb3-9feb-fceded6401d7,,,,,,,,,
103,13697733,13702275,Flange-0014,Geometry Group,,6dd5f95e-2e14-5464-92dd-de7ff3ea353b,,,,,,,,,
