object_id,mesh_index,distance,confidence,gold_cx,gold_cy,gold_cz,fbx_cx,fbx_cy,fbx_cz
e5d523e5-cbc1-cc88-cb05-103b20b11ca0,460,218.4730092183172,ambiguous,38.1599999999999,145.63134999987,0.534999999999997,-38.15999984741211,1.9643761068582535,146.36200021814417
9e68d1e8-9928-bd1f-11d2-336ad8ee0676,419,218.92513894151293,ambiguous,38.1599999999999,145.993300000131,0.534999999999997,-50.999539375305176,0.5223000028895007,137.7100019454956
43d31bb0-197a-e921-e274-d179e7ebee71,459,219.12436756431612,ambiguous,38.1599999999999,146.217137500001,0.534999999999997,-38.15999984741211,1.56157386302948,146.36200021814417
766ec450-a572-931d-07af-beb5671ed7e3,512,209.59261958470003,ambiguous,43.1599999999994,140.197999999593,0.554000000000002,-42.10103510927271,6.30400000291842,137.4189657193643
0570b9b3-3f70-a6a9-ab31-e71cd036730d,511,209.78956413666216,ambiguous,43.1599999999994,140.474200000415,0.554000000000002,-42.01826665357307,6.30400000291842,137.50173288804513
8192577f-0343-e0a3-8cb9-7ac69ed183b0,464,210.24664142382028,ambiguous,43.1599999999994,140.507544957843,1.75400059159321,-41.810000203273916,4.493886351585388,137.71000070925112
0e51442f-1c88-a5cd-33d1-8ffc3119e786,468,209.68589476040262,ambiguous,43.1599999999994,140.164644957021,1.75400059159321,-42.50999946947451,8.506189584732056,140.6600003948918
a4d8d1bd-5aa4-e896-0f2b-f70165d3eb1b,465,208.99007294950073,ambiguous,43.1599999999989,139.38125000006,1.75400000001,-42.00861045607814,8.506189584732056,140.6600003948918
ccf768d1-6bcb-0aeb-7321-d126a850fae2,513,210.49328716664706,ambiguous,43.1599999999994,140.787712500004,0.554000000000002,-41.810000203273916,5.599863648414612,137.71000070925112
22f2a826-eb30-eb27-65f1-4c063d57e45d,466,210.84316865385563,ambiguous,43.1599999999994,141.156012500003,0.554000000000002,-42.00861045607814,8.59863543510437,140.6600003948918
3f29ff23-9a3e-2ab9-4117-38e513eaf145,450,218.26709057789157,ambiguous,39.4930000000004,146.362,0.952612500000172,-43.15999984741211,0.5540000024355121,140.77046394348145
b0f5b99a-ee24-b8f3-c714-6fa9aa3c1f8e,451,218.266816857024,ambiguous,39.4930000000004,146.362,1.35583749999979,-43.15999984741211,0.5540000024355121,141.17326164245605
653f0513-f6f7-6e8d-7bed-45804b270049,422,218.15641621992947,ambiguous,39.4930000000004,146.362,1.57882500000032,-48.8100006447898,1.2470613718032837,138.4600019454956
66a40eee-f61b-a229-3d0a-70e50f651d5a,418,218.6957026740578,ambiguous,39.4930000000004,146.362,1.94712499999996,-50.6570611000061,0.5223000028895007,137.7100019454956
0bf1063b-9412-e0cc-6afe-5cd83b2371c0,446,218.19134207532724,ambiguous,39.4930000000004,146.362,0.789100000411026,-43.159999979866875,0.5540000053674534,140.48867225646973
def29553-ef3a-fc28-45b7-34e10f5e2032,457,219.3571052740231,ambiguous,38.1599999999999,146.362,0.952612500000172,-38.15999984741211,0.9353613778948784,146.36200021814417
2e5c72b5-6b7c-a692-98d9-ef572c3b0976,454,219.14364934770245,ambiguous,38.1599999999999,146.362,1.35583749999979,-39.49300003051758,1.56157386302948,146.36200021814417
6d1641f2-bd85-8ebc-0ca9-b506ab3157ae,461,219.03005705754416,ambiguous,38.1599999999999,146.362,1.57882500000032,-38.159999979866875,0.8035729974508286,146.36200021814417
6a98951d-caf4-d02a-276a-aa07607d66bb,442,218.85866547380144,ambiguous,38.1599999999999,146.362,1.94712499999996,-38.15999984741211,0.535000006047388,146.19988632202148
bf4d841b-1282-b95c-ff5b-2a7adee3149d,440,219.2359958496977,ambiguous,38.1599999999999,146.362,0.789100000411026,-38.159999869487905,0.5350000048401179,145.61370277404785
9b97a26d-80b7-26cb-bd9d-40f959f56547,740,200.0980497236026,ambiguous,43.1599999999994,139.884487500004,0.554000000000002,-16.040000286367203,5.964000053979732,136.93542289733887
2ffb6857-d218-1764-2e3e-a209f27f1c1f,739,199.75239198522993,ambiguous,43.1599999999994,139.516187500005,0.554000000000002,-16.040000286367203,5.964000053979732,136.78979301452637
fbfd187c-2d14-9c13-a465-daafe665b145,436,209.39339040477188,ambiguous,41.8099999999999,137.71,4.51113750000019,-39.224875926971436,4.693999954947719,144.4600015922829
afb1511f-81d7-b844-bcba-0e32677bdecb,458,211.72747063632204,ambiguous,42.0086106284543,140.66,8.51907499985123,-38.15999984741211,1.373088613152504,146.36200021814417
1b29c5ca-0872-5bfe-d21f-aab52d51781d,455,211.80482466470434,ambiguous,42.0086106284543,140.66,8.58575000014878,-39.49300003051758,1.9643761068582535,146.36200021814417
d0dcc976-9ea6-3f6a-8206-c5af6cf67fe0,433,211.32028268827412,ambiguous,42.5099999999998,140.66,8.51907499985123,-40.17599534988403,1.5939999942978222,144.46000221040515
de85dd36-7efc-ccfb-b418-58e6e85fc5ea,448,208.79316830771828,ambiguous,42.0478866675338,137.472113332466,6.304,-43.159999979866875,1.7540005790414634,140.1501693725586
532dd93c-0346-a28f-e8ff-1d4f78989bdf,435,208.51138776533273,ambiguous,42.071414938571,137.448585061429,6.304,-40.185123920440674,4.693999954947719,144.4600015922829
e86a00d2-b321-7ca0-2f8f-42e9248df004,449,208.8370658485584,ambiguous,41.8099999999999,137.71,5.58261249999981,-43.159953037251626,1.7541350590665812,139.4072363225425
250d5985-80ec-bd2e-f9ea-6194cb2af1f3,437,190.3115041706743,ambiguous,17.84302158845,118.530485569718,7.74378353521404,-39.49300003051758,0.5350000048401179,145.61370277404785
7246afbc-7248-d20c-8a85-13e624c4333a,452,203.1193967119918,ambiguous,16.04,136.81021837138,5.964,-39.49300003051758,0.9353613778948784,146.36200021814417
9026b036-fa18-ba25-f4fa-54dabe454e51,438,203.21556004318253,ambiguous,16.04,136.914993371379,5.964,-39.49300003051758,0.5350000048401179,146.0109462738037
9f93c5a6-4788-842c-28ef-bfcd10b1c670,456,203.10181183615475,ambiguous,15.521282715159,136.863031323043,5.964,-39.49300003051758,0.8035729974508286,146.36200021814417
acfb8407-a4ba-e46e-9755-1eb523cc02d9,439,203.24021688158754,ambiguous,15.521282715159,136.967806323042,5.964,-39.49300003051758,0.535000006047388,146.19988632202148
