mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
619,18419711,18423380,AC-100,Geometry Group,SP3D Entity,956802b1-ce7c-58b0-9000-dc011a812eda,@a=0027!!20014##720109690368431961,AC-100,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-DuctingSystems,,,,Working,New,
620,18481540,18485213,EC-100,Geometry Group,SP3D Entity,3630a5d5-647e-5241-a112-e93dec7ba476,@a=0027!!20014##720109690309953995,EC-100,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems,,,,Working,New,
621,18491471,18495455,U01-CW001-ET--0001-TRAY-0012,Geometry Group,SP3D Entity,81ae6520-b907-5910-a550-2482517525b4,@a=0027!!80056##720109690309954238,U01-CW001-ET--0001-TRAY-0012,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems\U01-CW001\U01-CW001-ET--0001,,,,Working,New,
622,18496826,18500792,U01-CW001-ET--0001-TRAY-0101,Geometry Group,SP3D Entity,d950ae79-d321-5588-81f6-35f26bdee5e6,@a=0027!!80056##720109690309954240,U01-CW001-ET--0001-TRAY-0101,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems\U01-CW001\U01-CW001-ET--0001,,,,Working,New,
623,18502163,18506147,U01-CW001-ET--0001-TRAY-0102,Geometry Group,SP3D Entity,26695e28-f88d-5f39-aa23-8f9b89189fb5,@a=0027!!80056##720109690309954242,U01-CW001-ET--0001-TRAY-0102,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems\U01-CW001\U01-CW001-ET--0001,,,,Working,New,
624,18507518,18511489,U01-CW001-ET--0001-TRAY-0201,Geometry Group,SP3D Entity,cb5f7df9-4053-5fa8-801b-708b291d1df7,@a=0027!!80056##720109690309954244,U01-CW001-ET--0001-TRAY-0201,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems\U01-CW001\U01-CW001-ET--0001,,,,Working,New,
625,18515455,18519414,U01-CW001-ET--0101-TRAY-0001,Geometry Group,SP3D Entity,f8572b6e-c38d-506b-827f-a0e1ce1e5de6,@a=0027!!80056##720109690309955052,U01-CW001-ET--0101-TRAY-0001,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems\U01-CW001\U01-CW001-ET--0101,,,,Working,New,
626,18522561,18526543,U01-CW001-ET--0203-TRAY-0003,Geometry Group,SP3D Entity,dda46bc2-7e40-5932-8e74-43a5036890f7,@a=0027!!80056##720109690309954396,U01-CW001-ET--0203-TRAY-0003,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems\U01-CW001\U01-CW001-ET--0203,,,,Working,New,
627,18527457,18531419,U01-CW001-ET--0203-TRAY-0004,Geometry Group,SP3D Entity,283b33f6-e86f-5c66-92bc-8ecd90221aad,@a=0027!!80056##720109690309954394,U01-CW001-ET--0203-TRAY-0004,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems\U01-CW001\U01-CW001-ET--0203,,,,Working,New,
628,18535315,18539295,U01-CW002-ET--0001-TRAY-0011,Geometry Group,SP3D Entity,3e62b0eb-d009-57b9-944f-ab9fb73d80d3,@a=0027!!80056##720109690309953952,U01-CW002-ET--0001-TRAY-0011,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems\U01-CW002\U01-CW002-ET--0001,,,,Working,New,
